param1,param2,param3,param4,Response
6,6,1,0,1.902
1,7,5,5,2.907
7,0,0,7,2.586
6,4,6,4,0.477
4,2,4,3,2.840
1,6,5,4,0.896
4,2,4,3,0.867
6,6,1,0,3.369
4,4,1,5,1.720
3,3,6,7,0.176
7,0,0,7,3.030
3,6,5,6,2.703
3,6,6,2,2.531
1,7,5,5,3.371
7,6,1,5,0.190
7,6,1,6,1.050
1,3,2,0,4.572
2,5,5,3,4.937
0,6,4,5,2.273
7,2,3,3,4.468
1,7,5,2,4.968
1,0,7,2,2.063
3,1,6,7,0.983
1,6,3,6,2.452
5,7,3,2,1.549
1,4,3,3,2.617
0,7,4,5,2.686
7,6,1,5,1.589
3,4,4,3,1.773
2,5,5,3,1.793
0,7,5,6,3.280
0,7,4,5,0.393
1,7,5,5,4.120
1,4,3,3,3.215
3,7,7,3,0.990
3,7,7,3,0.078
5,6,5,0,3.254
4,4,1,5,3.041
6,4,6,4,3.705
3,1,6,7,4.173
1,4,3,3,0.963
3,2,4,5,0.323
7,2,3,3,1.310
1,6,5,4,2.935
7,6,1,6,0.512
3,3,6,7,1.947
6,6,1,0,3.880
3,4,6,4,2.386
4,0,7,3,0.463
7,0,0,7,3.917
5,6,5,0,3.438
1,6,5,4,1.374
1,3,2,0,1.025
6,4,6,4,1.179
3,3,6,7,3.104
1,0,7,2,1.744
5,7,3,2,2.941
3,2,4,5,3.816
3,6,5,6,0.944
3,1,6,7,3.680
3,6,6,2,3.425
3,7,7,3,2.088
1,6,3,6,3.044
3,4,4,3,2.834
7,6,1,6,0.555
7,6,1,5,4.041
3,4,6,4,1.250
7,2,3,3,1.232
1,0,7,2,2.513
5,6,5,0,4.566
3,4,6,4,1.290
4,4,1,5,1.306
1,6,3,6,3.594
3,4,4,3,0.127
3,6,6,2,3.955
4,2,4,3,3.719
4,0,7,3,2.736
4,0,7,3,3.858
1,7,5,2,4.715
3,6,5,6,3.802
3,2,4,5,0.820
0,6,4,5,1.577
0,7,4,5,1.836
0,7,5,6,1.379
5,7,3,2,3.220
0,7,5,6,4.874
1,7,5,2,0.793
2,5,5,3,0.836
0,6,4,5,0.863
1,3,2,0,4.925
